tstamp,node_id,baseurl,state,sync,status,mn.count,mn.elapsed,mn.earliest,mn.latest,cn.count,cn.elapsed,cn.earliest,cn.latest,idx.count,idx.elapsed,idx.earliest,idx.latest
2022-02-24T05:23:38+0000,urn:node:NKN,https://dataone.northwestknowledge.net/mn,up,true,200,4670,11.257101774215698,,,48,33.0615496635437,2015-05-30T21:33:49+0000,2016-06-22T15:03:33+0000,46,0.5642139911651611,2015-05-30T21:33:49.382Z,2016-06-22T15:03:33.789Z
2022-02-24T05:23:38+0000,urn:node:USGS_SDC,https://usgs.ornl.gov/USGS_MN/mn/,up,false,0,,20.147021055221558,,,40185,28.668213844299316,2015-10-27T12:44:08+0000,2019-06-18T12:27:37+0000,21984,0.6229910850524902,2015-11-04T16:25:52.31Z,2018-02-01T07:22:36.773Z
2022-02-24T05:23:39+0000,urn:node:NRDC,https://dataone.sensor.nevada.edu/mn,up,true,0,,20.12841033935547,,,6673,28.78225350379944,2015-11-23T22:53:10+0000,2018-04-06T18:37:01+0000,6672,0.5303418636322021,2015-11-23T21:41:32.067Z,2018-04-06T18:37:01.89Z
2022-02-24T05:23:41+0000,urn:node:NCEI,https://ncei-node.dataone.org/mn,up,true,200,51001,7.1178247928619385,,,50972,35.492136001586914,2016-04-17T07:00:07+0000,2018-05-10T03:28:11+0000,50967,0.5574374198913574,2016-03-24T21:15:29.816Z,2018-05-10T03:28:11.936Z
2022-02-24T05:23:42+0000,urn:node:NEON,https://dataone.neonscience.org/metacat/d1/mn,up,true,200,23836,20.729392766952515,2019-07-09T23:50:22+0000,2019-11-08T19:00:23+0000,24221,27.335832595825195,2016-07-08T18:04:50+0000,2019-12-01T19:38:06+0000,21692,0.4939424991607666,2019-07-03T21:32:09.984Z,2019-12-01T19:38:06.575Z
2022-02-24T05:23:42+0000,urn:node:TDAR,https://dataone.tdar.org/dataone/,up,true,403,,0.26380014419555664,,,76784,19.514482021331787,2011-12-19T20:47:44+0000,2019-05-29T23:55:35+0000,69052,0.5090122222900391,2009-05-14T16:14:44.15Z,2019-05-29T23:55:35.039Z
2022-02-24T05:23:42+0000,urn:node:ARCTIC,https://arcticdata.io/metacat/d1/mn,up,true,200,1036074,8.040633916854858,2020-10-30T17:25:14+0000,2022-02-23T20:13:51+0000,1030952,12.816935062408447,2015-05-08T21:43:57+0000,2022-02-22T16:14:26+0000,963522,0.5387177467346191,2016-06-03T17:14:39.377Z,2022-02-19T00:45:17.949Z
2022-02-24T05:23:42+0000,urn:node:BCODMO,https://sonode.dataone.org/BCODMO,up,true,200,11463,6.956802606582642,2021-07-17T21:14:41+0000,2021-12-05T14:49:45+0000,11325,21.407636642456055,2016-11-13T20:48:43+0000,2021-12-05T14:49:45+0000,11302,0.6414332389831543,2016-11-13T20:48:43Z,2021-12-05T14:49:45Z
2022-02-24T05:23:42+0000,urn:node:GRIIDC,https://dataone-prod.tamucc.edu/mn,up,true,200,8597,6.325400114059448,,,8581,24.129693508148193,2016-11-21T21:34:56+0000,2020-02-28T03:06:02+0000,8581,0.5756492614746094,2016-11-21T21:34:56.318Z,2020-02-28T03:06:02.436Z
2022-02-24T05:23:42+0000,urn:node:R2R,https://r2r-node.dataone.org/mn,up,true,200,1826,7.212968587875366,2016-12-09T23:15:39+0000,2016-12-09T23:16:10+0000,1787,41.25162672996521,2016-12-09T23:19:57+0000,2017-01-26T02:21:39+0000,1787,0.5011932849884033,2016-12-09T23:15:39.532Z,2017-01-26T02:21:39.358Z
2022-02-24T05:23:42+0000,urn:node:EDI,https://gmn.edirepository.org/mn,up,true,200,10368,4.383222341537476,2017-03-30T18:25:10+0000,2022-02-24T00:45:36+0000,10340,5.847465515136719,2013-10-16T21:09:13+0000,2022-02-22T03:45:31+0000,9800,0.5036494731903076,2017-03-30T18:25:10.825Z,2022-02-22T03:45:30.482Z
2022-02-24T05:23:42+0000,urn:node:UIC,https://dataone.lib.uic.edu/metacat/d1/mn,up,false,200,16583,4.228497505187988,,2022-02-17T18:31:13+0000,0,94.7141432762146,,,0,0.49857258796691895,,
2022-02-24T05:23:43+0000,urn:node:RW,https://dataone.researchworkspace.com/mn,up,true,200,4116,15.35486388206482,2019-06-18T19:07:16+0000,2022-02-16T20:20:27+0000,4115,41.13433289527893,2019-06-18T19:07:16+0000,2022-02-16T20:20:27+0000,4076,0.5035750865936279,2019-06-18T19:07:16.17Z,2022-02-16T20:20:27.861Z
2022-02-24T05:23:43+0000,urn:node:FEMC,https://dataone.uvm.edu/mn,up,true,200,7884,7.154689073562622,,2020-03-27T03:00:06Z,6805,34.89136552810669,2017-10-20T15:03:36+0000,2020-03-27T03:00:06+0000,6585,0.4886181354522705,2017-10-18T03:00:02.519Z,2020-03-27T03:00:06.932Z
2022-02-24T05:23:43+0000,urn:node:PANGAEA,https://pangaea-orc-1.dataone.org/mn,up,false,0,,20.037933588027954,,,507566,52.746618032455444,2018-05-12T03:01:38+0000,2018-06-01T04:51:26+0000,507546,0.5416831970214844,2018-01-05T18:25:02.685Z,2018-06-01T04:51:26.985Z
2022-02-24T05:23:43+0000,urn:node:ESS_DIVE,https://data.ess-dive.lbl.gov/catalog/d1/mn,up,true,200,20380,4.887022972106934,2018-03-28T22:58:51+0000,2022-02-24T02:01:48+0000,20312,23.503336191177368,2018-03-28T22:58:51+0000,2022-02-19T18:04:06+0000,10423,0.5348329544067383,2018-03-30T22:29:38.895Z,2022-02-18T08:02:53.886Z
2022-02-24T05:23:44+0000,urn:node:CAS_CERN,https://data-en.cern.ac.cn/metacat/d1/mn,up,true,200,155,27.05319571495056,,,144,39.45978784561157,2018-09-10T08:25:43+0000,2018-10-25T03:06:33+0000,143,0.46997833251953125,2018-09-10T08:25:43.628Z,2018-10-25T03:06:33.839Z
2022-02-24T05:23:43+0000,urn:node:FIGSHARE_CARY,https://gmn.dataone.org/cary/figshare,up,true,200,70,6.056625127792358,2019-02-21T06:43:02+0000,2022-01-07T12:37:47+0000,70,34.2818603515625,2019-02-21T06:43:02+0000,2022-01-07T12:37:47+0000,70,0.4534926414489746,2019-02-21T06:43:02.713Z,2022-01-07T12:37:47.113Z
2022-02-24T05:23:43+0000,urn:node:IEDA_EARTHCHEM,https://gmn.dataone.org/ieda/earthchem,up,true,200,890,8.804869651794434,,2021-01-18T00:31:57+0000,890,42.25277280807495,2019-03-04T19:13:59+0000,2021-01-18T00:40:57+0000,888,0.5298769474029541,2019-03-04T19:13:59.478Z,2021-01-18T00:40:57.403Z
2022-02-24T05:23:43+0000,urn:node:IEDA_USAP,https://gmn.dataone.org/ieda/usap,up,true,200,735,8.29347276687622,,2021-01-15T18:39:28+0000,695,43.73141026496887,2019-03-04T21:55:55+0000,2021-01-15T18:45:32+0000,695,0.5104901790618896,2019-03-04T21:55:55.738Z,2021-01-15T18:45:32.296Z
2022-02-24T05:23:43+0000,urn:node:IEDA_MGDL,https://gmn.dataone.org/ieda/mgdl,up,true,200,11049,8.65778112411499,,2021-01-18T01:09:08+0000,9734,39.94554257392883,2019-03-04T21:38:55+0000,2021-01-18T04:36:48+0000,9728,0.5511527061462402,2019-03-04T19:24:17.965Z,2021-01-18T04:36:48.838Z
2022-02-24T05:23:44+0000,urn:node:METAGRIL,https://gril.flsh.usherbrooke.ca/metacat/d1/mn,up,true,0,,0.032970428466796875,,,285,38.90097260475159,2019-01-22T23:58:13+0000,2021-07-11T19:23:25+0000,274,0.5041134357452393,2019-01-23T16:27:45.263Z,2021-07-11T19:23:25.635Z
2022-02-24T05:23:44+0000,urn:node:ARM,https://gmn.dataone.org/arm,up,true,200,19616,7.227020263671875,2019-12-19T05:00:09+0000,2021-10-24T05:02:07+0000,19313,46.35143232345581,2019-12-21T05:00:39+0000,2021-11-14T05:05:57+0000,19313,0.5053918361663818,2019-12-19T05:00:09.589Z,2021-11-14T05:05:57.181Z
2022-02-24T05:23:44+0000,urn:node:CA_OPC,https://opc.dataone.org/metacat/d1/mn,up,true,200,5536,5.741885423660278,2019-12-17T14:30:16+0000,2022-02-24T03:37:59+0000,5231,21.86462950706482,2017-05-01T20:49:48+0000,2022-02-17T23:07:49+0000,894,0.5098516941070557,2020-05-07T21:51:58.048Z,2022-02-17T23:07:49.147Z
2022-02-24T05:23:44+0000,urn:node:PNDB,http://pndb.fr/metacat/d1/mn,up,true,200,409,13.722634553909302,2020-06-26T00:44:59+0000,2021-11-04T15:12:34+0000,409,46.83178091049194,2020-06-26T00:44:59+0000,2021-11-04T15:12:34+0000,363,0.5101230144500732,2020-06-26T09:14:38.447Z,2021-11-04T15:12:34.848Z
2022-02-24T05:23:44+0000,urn:node:HYDROSHARE,https://sonode.dataone.org/HYDROSHARE/,up,true,200,10604,6.968169450759888,,2021-12-05T16:01:39+0000,10443,58.60172128677368,2021-07-17T18:08:12+0000,2021-12-05T16:01:39+0000,10433,0.4872305393218994,2021-07-17T18:08:12Z,2021-12-05T16:01:39Z
2022-02-24T05:23:44+0000,urn:node:NPDC,https://sonode.dataone.org/NPDC,up,true,200,100,6.823987722396851,2021-09-11T12:16:31+0000,2021-12-05T13:13:37+0000,100,50.91606140136719,2021-09-11T12:16:31+0000,2021-12-05T13:13:37+0000,51,1.146932601928711,2021-09-11T12:16:31Z,2021-12-05T13:13:37Z
